image_url||caption||link
/images/MRS2025.png||Rose, Yuefan, and Rebecca will be attending the MRS conference in Seattle! Hope to see you all there!||https://www.mrs.org/meetings-events/annual-meetings/2025-mrs-spring-meeting
/images/yuefan_publication.png||Yuefan's recent work introduces a supplementary toolbox to Impedance.py for analyzing nonlinear EIS experiments!||https://joss.theoj.org/papers/10.21105/joss.07424.pdf
https://images.unsplash.com/photo-1513151233558-d860c5398176?q=80&w=2940&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D||Congratulations to Lauren Frank for passing her Fall 2024 preliminary exam!
